,住宿场所名称,省份,城市,商圈,星级,是否为客栈,房间数,评分,评论数,城市平均实住间夜,酒店总订单,酒店总间夜,酒店实住订单,酒店实住间夜,酒店直销订单,酒店直销间夜,酒店直销实住订单,酒店直销实住间夜,酒店直销拒单,酒店直销拒单率,城市直销订单,城市直销拒单率
7468,潜山宋家大板桥土菜馆住宿,安徽,安庆,天柱山,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7469,城市之家望江县政府店,安徽,安庆,市中心区域商圈,经济型,低星,40,4.818180084,11,18.0,59,63,46,50,42,43,31,32,2,0.0476,6207.0,0.0611
7470,安庆乡之约快捷宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7471,桐城金云宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,24,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7472,安庆聚喜缘酒店,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7473,潜山彭岭商务酒店,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7474,潜山乡约桃园客栈,安徽,安庆,天柱山,二星及其他,低星,9,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7475,潜山大龙窝土菜馆农家乐,安徽,安庆,天柱山,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7476,潜山赫比尼斯度假酒店,安徽,安庆,市中心区域商圈,二星及其他,低星,21,5.0,1,18.0,3,4,1,1,3,4,1,1,3,1.0,6207.0,0.0611
7477,潜山徽姑娘客栈,安徽,安庆,天柱山,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7478,岳西横河宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,8,5.0,1,18.0,12,17,5,8,9,13,4,7,4,0.4444,6207.0,0.0611
7479,怀宁一米阳光精品酒店,安徽,安庆,市中心区域商圈,二星及其他,低星,35,4.460179806,14,18.0,44,48,30,34,44,48,30,34,2,0.0455,6207.0,0.0611
7480,潜山福客来土菜馆住宿,安徽,安庆,天柱山,二星及其他,低星,10,4.0,1,18.0,3,3,2,2,3,3,2,2,0,0.0,6207.0,0.0611
7481,潜山湖畔人家快捷酒店,安徽,安庆,天柱山,二星及其他,低星,10,5.0,4,18.0,14,26,5,6,12,20,5,6,4,0.3333,6207.0,0.0611
7482,桐城方兴旅馆,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7483,安庆高派商务酒店,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,15,19,13,17,13,17,12,16,0,0.0,6207.0,0.0611
7484,潜山鼎盛招待所,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7485,太湖馨悦宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,3,3,1,1,3,3,1,1,2,0.6667,6207.0,0.0611
7486,潜山阅山居客栈,安徽,安庆,天柱山,二星及其他,低星,9,5.0,1,18.0,9,12,2,2,9,12,2,2,0,0.0,6207.0,0.0611
7487,岳西黄河楼宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,5,5,4,4,5,5,4,4,0,0.0,6207.0,0.0611
7488,安庆天瑞宾馆,安徽,安庆,东部新城商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7489,潜山鄉馨阁大酒店,安徽,安庆,天柱山,二星及其他,低星,25,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7490,潜山天香阁酒店,安徽,安庆,天柱山,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7491,安庆鑫龙商务酒店,安徽,安庆,市中心区域商圈,二星及其他,低星,25,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7492,潜山结缘农家院,安徽,安庆,天柱山,二星及其他,低星,10,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7493,岳西太平寨农家乐,安徽,安庆,市中心区域商圈,二星及其他,低星,5,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7494,安庆翠竹山庄,安徽,安庆,天柱山,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7495,安庆徽客栈,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7496,安庆农家印象,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7497,安庆贺记土菜馆住宿,安徽,安庆,天柱山,二星及其他,低星,5,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7498,安庆榴莲小星酒店集贤南路店,安徽,安庆,市中心区域商圈,二星及其他,低星,53,4.5,4,18.0,13,14,11,12,7,8,5,6,0,0.0,6207.0,0.0611
7499,喆·啡酒店安庆人民路店,安徽,安庆,市中心区域商圈,三星级/舒适,低星,60,4.783130169,14,18.0,86,106,61,76,26,29,15,16,2,0.0769,6207.0,0.0611
7500,安庆尊尚国际大酒店,安徽,安庆,客运站区域商圈市中心区域商圈,二星及其他,低星,60,5.0,1,18.0,22,74,11,12,18,19,10,11,1,0.0556,6207.0,0.0611
7501,安庆粗茶淡饭农家乐,安徽,安庆,天柱山,二星及其他,低星,5,4.5,2,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7502,潜山炼丹农庄,安徽,安庆,天柱山,二星及其他,低星,15,5.0,3,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7503,安庆成林酒店,安徽,安庆,天柱山,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7504,速8酒店安庆振风塔宜城路店,安徽,安庆,市中心区域商圈,经济型,低星,80,4.333330154,6,18.0,34,40,25,29,20,26,17,21,1,0.05,6207.0,0.0611
7505,岳西金翠兰商务酒店,安徽,安庆,市中心区域商圈,二星及其他,低星,36,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7506,天柱山玩美农庄,安徽,安庆,天柱山,二星及其他,低星,14,5.0,1,18.0,2,2,1,1,2,2,1,1,2,1.0,6207.0,0.0611
7507,岳西野生鱼村农家乐,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7508,安庆秦溏湖商务宾馆,安徽,安庆,东部新城商圈,二星及其他,低星,27,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7509,桐城满堂红宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7510,桐城汉庭宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7511,安庆i?Dream爱住主题公寓,安徽,安庆,市中心区域商圈,二星及其他,低星,40,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7512,安徽建钢大酒店,安徽,安庆,市中心区域商圈,二星及其他,低星,114,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7513,潜山立云山庄,安徽,安庆,天柱山,二星及其他,低星,11,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7514,望江锦港微酒店,安徽,安庆,市中心区域商圈,二星及其他,低星,44,5.0,1,18.0,9,11,5,5,1,1,1,1,0,0.0,6207.0,0.0611
7515,安庆顺腾宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7516,宿松顶能酒店,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7517,安庆石化会议中心,安徽,安庆,市中心区域商圈,二星及其他,低星,66,5.0,1,18.0,3,4,3,4,3,4,3,4,0,0.0,6207.0,0.0611
7518,宿松沧浪商务会所,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7519,安庆香果树宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7520,安庆乐辰仁仁居酒店,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7521,望江武昌湖假日宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7522,潜山七星客栈,安徽,安庆,天柱山,二星及其他,低星,6,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7523,岳西石关晓伟休闲农庄,安徽,安庆,市中心区域商圈,二星及其他,低星,16,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7524,桐城龙眠宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7525,岳西迎庆楼生态农庄,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7526,潜山天然居农家乐,安徽,安庆,天柱山,二星及其他,低星,23,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7527,岳西如家小旅馆,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7528,岳西雷克泰酒店,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7529,安庆天鹅恋主题公寓,安徽,安庆,市中心区域商圈,二星及其他,低星,18,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7530,岳西磨旗尖避暑农庄,安徽,安庆,市中心区域商圈,二星及其他,低星,12,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7531,安庆标文大酒店,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7532,岳西鑫天源宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,32,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7533,潜山凤仪阁酒店,安徽,安庆,天柱山,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7534,太湖1加1快捷宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7535,望江雷池渔家乐,安徽,安庆,市中心区域商圈,未知,低星,30,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7536,安庆小灶王农家乐,安徽,安庆,市中心区域商圈,二星及其他,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7537,岳西神岳农庄,安徽,安庆,市中心区域商圈,未知,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7538,岳西沐雅轩洗浴中心,安徽,安庆,市中心区域商圈,未知,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7539,安庆龙玲公寓,安徽,安庆,市中心区域商圈,未知,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7540,安庆本鲜酒店,安徽,安庆,天柱山,未知,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7541,安庆顺泰公寓,安徽,安庆,市中心区域商圈,二星及其他,低星,15,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7542,岳西来福商务宾馆,安徽,安庆,市中心区域商圈,二星及其他,低星,30,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7543,安庆纯四度宾馆,安徽,安庆,市中心区域商圈,未知,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7544,安庆金园宾馆,安徽,安庆,客运站区域商圈市中心区域商圈东部新城商圈,未知,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7545,潜山红日快捷宾馆,安徽,安庆,市中心区域商圈,未知,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7546,太湖弥陀快捷宾馆,安徽,安庆,市中心区域商圈,未知,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7547,安庆凯瑞宾馆,安徽,安庆,客运站区域商圈市中心区域商圈,未知,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7548,岳西金榜乡村度假民宿,安徽,安庆,市中心区域商圈,未知,低星,22,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7549,岳西云.山舍客栈,安徽,安庆,市中心区域商圈,未知,低星,6,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7550,太湖万诚宾馆,安徽,安庆,市中心区域商圈,未知,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7551,潜山天雅土菜馆住宿,安徽,安庆,市中心区域商圈,未知,低星,20,5.0,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7552,安庆大酒店,安徽,安庆,市中心区域商圈客运站区域商圈,四星级/高档,OTA,133,4.195419788,210,18.0,23,32,19,28,1,1,1,1,0,0.0,6207.0,0.0611
7553,安庆宾馆,安徽,安庆,市中心区域商圈,三星级/舒适,低星,156,3.632019997,34,18.0,35,48,23,31,19,25,11,14,0,0.0,6207.0,0.0611
7554,安庆花亭湖寺前庄苑,安徽,安庆,市中心区域商圈,三星级/舒适,低星,20,3.025170088,1,18.0,1,1,1,1,1,1,1,1,0,0.0,6207.0,0.0611
7555,鞍山中国五环大酒店,辽宁,鞍山,鞍山站东山风景区,五星级/豪华,OTA,328,4.038169861,122,26.36,67,84,43,54,1,1,1,1,0,0.0,3924.0,0.0461
7556,鞍山四海大酒店,辽宁,鞍山,东山风景区鞍山站,四星级/高档,OTA,248,4.234149933,515,26.36,106,160,64,92,1,1,1,1,0,0.0,3924.0,0.0461
7557,鞍山富田商务酒店,辽宁,鞍山,东山风景区鞍山站,三星级/舒适,低星,90,4.286340237,369,26.36,52,66,34,42,37,46,26,30,2,0.0541,3924.0,0.0461
7558,如家快捷鞍山火车站店,辽宁,鞍山,鞍山站东山风景区,经济型,低星,170,4.330550194,185,26.36,94,138,61,80,8,8,5,5,0,0.0,3924.0,0.0461
7559,鞍山五洲商务酒店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,128,3.852149963,43,26.36,45,61,28,35,43,58,27,33,2,0.0465,3924.0,0.0461
7560,佳泰连锁商务宾馆鞍山繁荣店,辽宁,鞍山,鞍山站,经济型,低星,120,4.204339981,190,26.36,98,121,66,74,55,72,34,39,0,0.0,3924.0,0.0461
7561,佳泰连锁商务宾馆海城文化宫店,辽宁,鞍山,鞍山站东山风景区,经济型,低星,91,4.371510029,188,26.36,34,45,22,29,13,19,8,13,0,0.0,3924.0,0.0461
7562,佳泰连锁商务宾馆鞍山湖南店,辽宁,鞍山,东山风景区,经济型,低星,112,4.066060066,47,26.36,16,22,8,9,13,18,5,5,1,0.0769,3924.0,0.0461
7563,佳泰连锁商务宾馆千山佳泰温泉酒店,辽宁,鞍山,千山风景区,经济型,低星,85,3.679320097,21,26.36,11,18,3,4,5,12,1,2,1,0.2,3924.0,0.0461
7564,鞍山艾伦国际饭店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,112,4.377349854,931,26.36,408,486,283,333,271,333,179,218,3,0.0111,3924.0,0.0461
7565,鞍山大厦宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,150,2.937419891,20,26.36,5,8,1,1,5,8,1,1,0,0.0,3924.0,0.0461
7566,鞍山昊诚商务酒店,辽宁,鞍山,鞍山站东山风景区,三星级/舒适,低星,130,4.041079998,305,26.36,141,171,107,127,120,137,97,110,0,0.0,3924.0,0.0461
7567,鞍山农林局招待所,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,5.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7568,鞍山鑫麒馨酒店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,5.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7569,奥利圣商务宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,1.963369966,2,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7570,鞍山秋实宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,5.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7571,鞍山东山宾馆,辽宁,鞍山,东山风景区鞍山站,四星级/高档,OTA,206,4.037819862,36,26.36,9,11,4,4,1,1,1,1,0,0.0,3924.0,0.0461
7572,鞍山金峰旅社,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,60,4.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7573,鞍钢天座宾馆,辽宁,鞍山,千山风景区,二星及其他,低星,20,5.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7574,铁西区吉顺招待所,辽宁,鞍山,鞍山站,二星及其他,低星,20,5.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7575,房产局利民旅社,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,10,3.551019907,5,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7576,鞍山水历芳华温泉会馆,辽宁,鞍山,鞍山机场,二星及其他,低星,20,3.748699903,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7577,鞍山虹都招待所,辽宁,鞍山,鞍山站,二星及其他,低星,15,4.079999924,6,26.36,2,4,1,1,2,4,1,1,0,0.0,3924.0,0.0461
7578,鞍山三冶温泉宾馆,辽宁,鞍山,千山风景区,二星及其他,低星,20,4.428569794,18,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7579,鞍山贺临假日酒店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,150,3.061860085,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7580,鞍山海城大酒店,辽宁,鞍山,鞍山站东山风景区,四星级/高档,OTA,139,3.470340014,119,26.36,38,56,24,38,1,1,1,1,0,0.0,3924.0,0.0461
7581,佳泰连锁商务宾馆海城西关店,辽宁,鞍山,鞍山站东山风景区,经济型,低星,68,4.470089912,57,26.36,20,21,11,12,10,11,5,6,0,0.0,3924.0,0.0461
7582,鞍山毓秀宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,3.726439953,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7583,鞍山齐都大酒店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,3.638849974,35,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7584,鞍山金龙大厦,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,3.952850103,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7585,鞍山胜利宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,130,4.59897995,46,26.36,9,12,7,10,8,11,6,9,0,0.0,3924.0,0.0461
7586,鞍山铁东宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,3.169929981,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7587,鞍山龙源酒店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,53,4.311429977,46,26.36,14,18,8,11,13,17,8,11,2,0.1538,3924.0,0.0461
7588,鞍山田园酒店,辽宁,鞍山,鞍山站东山风景区,三星级/舒适,低星,50,3.878560066,52,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7589,鞍山军招温泉酒店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,125,4.08134985,20,26.36,38,40,33,34,31,32,30,31,0,0.0,3924.0,0.0461
7590,鞍山会文楼宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,3.952850103,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7591,鞍山乐雪假日温泉酒店,辽宁,鞍山,千山风景区,四星级/高档,OTA,120,3.693749905,64,26.36,49,65,31,42,1,1,1,1,0,0.0,3924.0,0.0461
7592,鞍山尚城国际酒店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,3.756010056,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7593,鞍山友政宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,31,3.666260004,18,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7594,鞍山千山温泉会馆,辽宁,鞍山,千山风景区,二星及其他,低星,20,3.868489981,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7595,鞍山光明宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,3.926229954,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7596,宜必思鞍山胜利广场酒店,辽宁,鞍山,鞍山站东山风景区,三星级/舒适,低星,208,4.518290043,731,26.36,159,209,108,136,133,176,95,121,4,0.0301,3924.0,0.0461
7597,鞍山洪增宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,5.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7598,鞍山鑫丰酒店,辽宁,鞍山,千山风景区,二星及其他,低星,20,4.167170048,2,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7599,佳泰连锁商务宾馆海城时尚店,辽宁,鞍山,鞍山站东山风景区,经济型,低星,55,2.855380058,12,26.36,9,10,7,8,7,8,5,6,1,0.1429,3924.0,0.0461
7600,鞍山春雷大厦,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,3.40440011,0,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7601,鞍山金辉宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,37,4.0,1,26.36,3,3,2,2,3,3,2,2,0,0.0,3924.0,0.0461
7602,佳泰连锁商务宾馆海城北关店,辽宁,鞍山,鞍山站东山风景区,经济型,低星,70,4.416200161,86,26.36,12,20,7,11,5,11,3,7,0,0.0,3924.0,0.0461
7603,鞍山中山宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,5.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7604,鞍山桃园新村喜迎八方客农家乐,辽宁,鞍山,千山风景区,二星及其他,客栈,20,4.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7605,锦江之星鞍山兴盛广场店,辽宁,鞍山,鞍山站,经济型,低星,115,4.218019962,208,26.36,80,98,51,61,56,69,39,48,3,0.0536,3924.0,0.0461
7606,鞍山台安大酒店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,4.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7607,鞍山薪人海商务宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,38,4.785709858,5,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7608,鞍山东方罗马商务宾馆站前店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,60,3.921050072,16,26.36,17,22,5,6,17,22,5,6,6,0.3529,3924.0,0.0461
7609,如家快捷鞍山立山广场店,辽宁,鞍山,鞍山站东山风景区,经济型,低星,103,4.118750095,132,26.36,67,100,55,68,2,2,2,2,0,0.0,3924.0,0.0461
7610,鞍山吉顺时尚商务宾馆铁西店,辽宁,鞍山,鞍山站,二星及其他,低星,136,4.40707016,34,26.36,8,8,7,7,8,8,7,7,0,0.0,3924.0,0.0461
7611,鞍山吉顺时尚商务宾馆高新店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,57,4.264770031,31,26.36,8,9,6,6,8,9,6,6,0,0.0,3924.0,0.0461
7612,鞍山吉顺时尚商务宾馆曙光店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,58,4.487919807,13,26.36,11,11,1,1,5,5,1,1,1,0.2,3924.0,0.0461
7613,鞍山吉顺时尚商务宾馆站前店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,42,4.232940197,21,26.36,15,19,9,11,9,10,6,6,3,0.3333,3924.0,0.0461
7614,天元商务旅馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,20,5.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7615,鞍山吉顺时尚商务宾馆岫岩店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,76,5.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7616,鞍山开拓者晟达宾馆,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,60,3.33149004,39,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7617,鞍山市光明宾馆,辽宁,鞍山,千山风景区,二星及其他,低星,82,3.222219944,14,26.36,10,22,3,9,2,2,1,1,1,0.5,3924.0,0.0461
7618,鞍山8号温泉酒店,辽宁,鞍山,千山风景区,二星及其他,低星,20,5.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7619,尚客优快捷酒店鞍山胜利北路店,辽宁,鞍山,鞍山站,经济型,低星,47,4.413350105,34,26.36,4,10,2,2,4,10,2,2,0,0.0,3924.0,0.0461
7620,鞍山百度商务宾馆,辽宁,鞍山,鞍山站,二星及其他,低星,48,4.410510063,20,26.36,18,19,3,3,17,18,3,3,3,0.1765,3924.0,0.0461
7621,海城景朝宾馆海城站前店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,60,4.262740135,156,26.36,38,41,34,35,37,40,33,34,0,0.0,3924.0,0.0461
7622,鞍山师范学院科技文化交流中心,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,64,3.435290098,6,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
7623,鞍山吉顺时尚商务宾馆台安店,辽宁,鞍山,鞍山站东山风景区,二星及其他,低星,52,3.988739967,55,26.36,23,37,13,18,20,34,11,16,3,0.15,3924.0,0.0461
7624,妇女主任农家院,辽宁,鞍山,千山风景区,二星及其他,低星,20,5.0,1,26.36,1,1,1,1,1,1,1,1,0,0.0,3924.0,0.0461
